"","iso3c","date","value","indicatorID","indicator","iso2c","country"
"44","JAM","2012",137.934669887058,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"45","JAM","2011",133.978459775192,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"46","JAM","2010",136.224334891016,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"47","JAM","2009",134.678769793404,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"48","JAM","2008",120.339824591656,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"49","JAM","2007",112.989990199089,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"50","JAM","2006",117.698811478754,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"51","JAM","2005",121.00247616654,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"52","JAM","2004",122.008068595913,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"53","JAM","2003",127.433255587593,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"54","JAM","2002",127.777467033609,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"55","JAM","2001",117.535033564029,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"56","JAM","2000",98.3341557109605,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"57","JAM","1999",88.9636436472209,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","JM","Jamaica"
"58","KNA","2014",59.9022123446813,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"59","KNA","2013",69.9088816166677,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"60","KNA","2012",99.8824694374266,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"61","KNA","2011",105.318484030508,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"62","KNA","2010",107.435882444652,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"63","KNA","2009",104.31305157437,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
